eid,location,start_day,start_time,end_time,total_time,shift_title,event_id
3108120,"Jacksonville, FL",3/10/19,2:04 PM,5:43 PM,3.64,UNF Softball Osprey Classic ,284.JAX0319
3066342,"Columbus, OH",3/7/19,4:40 PM,8:16 PM,3.59,Delaware KidsFest ,285.CMH0319
2994232,"Columbus, OH",3/7/19,4:42 PM,8:30 PM,3.8,Delaware KidsFest ,285.CMH0319
3051755,"Columbus, OH",3/7/19,4:42 PM,8:16 PM,3.56,Delaware KidsFest ,285.CMH0319
3182212,"Columbus, OH",3/5/19,4:42 PM,8:11 PM,3.48,Dublin KidsFest ,285.CMH0319
3182212,"Columbus, OH",3/15/19,4:25 PM,8:18 PM,3.88,Marysville KidsFest ,285.CMH0319
2902727,"Columbus, OH",3/15/19,4:26 PM,8:18 PM,3.88,Marysville KidsFest ,285.CMH0319
2994232,"Columbus, OH",3/13/19,4:25 PM,8:26 PM,4.02,New Albany KidsFest ,285.CMH0319
2902727,"Columbus, OH",3/21/19,4:00 PM,8:36 PM,4.61,Reynoldsburg KidsFest ,285.CMH0319
2990682,"Houston, TX",3/24/19,10:26 AM,3:37 PM,5.17,YNFM: Cinco Ranch ,286.HOU0319
3201191,"Houston, TX",3/24/19,10:30 AM,3:39 PM,5.16,YNFM: Cinco Ranch ,286.HOU0319
3201190,"Houston, TX",3/24/19,10:40 AM,3:38 PM,4.96,YNFM: Cinco Ranch ,286.HOU0319
938064,"Houston, TX",3/16/19,12:17 PM,5:55 PM,5.64,Aerodromes ,287.HOU0319
938064,"Houston, TX",3/17/19,12:10 PM,6:00 PM,5.84,Aerodromes ,287.HOU0319
3157101,"Jacksonville, FL",3/31/19,10:56 AM,5:58 PM,7.03,DogFest Jacksonville ,288.JAX0319
3066356,"Jacksonville, FL",3/31/19,11:04 AM,4:20 PM,5.27,DogFest Jacksonville ,288.JAX0319
2861116,"Portland, OR",3/12/19,8:59 AM,2:29 PM,5.49,2019 PacifiCorp Safety & Wellness Fair ,289.PDX0319
3123561,"Seattle, WA",3/27/19,10:34 AM,4:05 PM,5.52,Live Long and Prosper Benefits and Wellness Fair ,289.SEA0319
3045058,"Seattle, WA",3/27/19,10:39 AM,4:11 PM,5.53,Live Long and Prosper Benefits and Wellness Fair ,289.SEA0319
3178841,"Atlanta, GA",3/30/19,8:01 AM,3:32 PM,7.51,Gluten Free/ Nourished Festival ,29.ATL0319
3091421,"Atlanta, GA",3/30/19,8:11 AM,3:30 PM,7.32,Gluten Free/ Nourished Festival ,29.ATL0319
3116258,"Atlanta, GA",3/31/19,8:56 AM,3:32 PM,6.59,Gluten Free/ Nourished Festival ,29.ATL0319
3091421,"Atlanta, GA",3/31/19,8:59 AM,3:32 PM,6.54,Gluten Free/ Nourished Festival ,29.ATL0319
2916750,"Dallas, TX",3/27/19,5:47 PM,10:08 PM,4.35,Denton Wine Walk ,290.DFW0319
3059094,"Atlanta, GA",3/9/19,1:00 PM,6:13 PM,5.22,GSU Women's Basketball ,291.ATL0319
3193180,"Dallas, TX",3/24/19,3:29 PM,7:43 PM,4.22,Texas Revs ,292.DFW0319
3178850,"Columbus, OH",3/7/19,9:30 AM,3:09 PM,5.63,Polaris Fashion Place ,293.CMH0319
3066342,"Columbus, OH",3/8/19,9:28 AM,3:34 PM,6.1,Polaris Fashion Place ,293.CMH0319
3051755,"Columbus, OH",3/8/19,9:28 AM,3:34 PM,6.11,Polaris Fashion Place ,293.CMH0319
3178849,"Columbus, OH",3/8/19,3:25 PM,9:31 PM,6.1,Polaris Fashion Place ,293.CMH0319
2994232,"Columbus, OH",3/8/19,3:25 PM,9:41 PM,6.26,Polaris Fashion Place ,293.CMH0319
3193181,"Columbus, OH",3/8/19,3:32 PM,10:08 PM,6.61,Polaris Fashion Place ,293.CMH0319
3178849,"Columbus, OH",3/9/19,3:27 PM,9:27 PM,6.0,Polaris Fashion Place ,293.CMH0319
3051755,"Columbus, OH",3/10/19,11:25 AM,6:01 PM,6.6,Polaris Fashion Place ,293.CMH0319
3178850,"Columbus, OH",3/10/19,11:27 AM,6:30 PM,7.04,Polaris Fashion Place ,293.CMH0319
3182212,"Columbus, OH",3/11/19,9:25 AM,3:02 PM,5.61,Polaris Fashion Place ,293.CMH0319
3066342,"Columbus, OH",3/11/19,9:25 AM,3:07 PM,5.69,Polaris Fashion Place ,293.CMH0319
3178849,"Columbus, OH",3/15/19,9:29 AM,3:32 PM,6.05,Polaris Fashion Place ,293.CMH0319
2994232,"Columbus, OH",3/15/19,3:25 PM,9:41 PM,6.26,Polaris Fashion Place ,293.CMH0319
3178850,"Columbus, OH",3/15/19,3:30 PM,9:44 PM,6.23,Polaris Fashion Place ,293.CMH0319
3197161,"Columbus, OH",3/15/19,3:31 PM,10:21 PM,6.85,Polaris Fashion Place ,293.CMH0319
2994232,"Columbus, OH",3/16/19,9:25 AM,3:34 PM,6.17,Polaris Fashion Place ,293.CMH0319
2902727,"Columbus, OH",3/16/19,3:25 PM,10:03 PM,6.63,Polaris Fashion Place ,293.CMH0319
3182212,"Columbus, OH",3/16/19,3:29 PM,9:36 PM,6.12,Polaris Fashion Place ,293.CMH0319
3193181,"Columbus, OH",3/17/19,11:25 AM,6:26 PM,7.02,Polaris Fashion Place ,293.CMH0319
3178849,"Columbus, OH",3/17/19,11:29 AM,6:16 PM,6.8,Polaris Fashion Place ,293.CMH0319
3178850,"Columbus, OH",3/17/19,11:34 AM,6:27 PM,6.88,Polaris Fashion Place ,293.CMH0319
3066342,"Columbus, OH",3/21/19,9:28 AM,3:19 PM,5.86,Polaris Fashion Place ,293.CMH0319
3197161,"Columbus, OH",3/21/19,2:56 PM,9:23 PM,6.44,Polaris Fashion Place ,293.CMH0319
3178850,"Columbus, OH",3/21/19,2:57 PM,9:04 PM,6.11,Polaris Fashion Place ,293.CMH0319
3051755,"Columbus, OH",3/21/19,2:58 PM,9:03 PM,6.08,Polaris Fashion Place ,293.CMH0319
3182212,"Columbus, OH",3/22/19,9:27 AM,3:53 PM,6.43,Polaris Fashion Place ,293.CMH0319
3197161,"Columbus, OH",3/23/19,9:00 AM,4:30 PM,7.5,Polaris Fashion Place ,293.CMH0319
3051755,"Columbus, OH",3/23/19,9:25 AM,3:34 PM,6.15,Polaris Fashion Place ,293.CMH0319
3178849,"Columbus, OH",3/23/19,9:27 AM,3:42 PM,6.25,Polaris Fashion Place ,293.CMH0319
3178850,"Columbus, OH",3/23/19,3:26 PM,9:32 PM,6.1,Polaris Fashion Place ,293.CMH0319
3182212,"Columbus, OH",3/24/19,11:26 AM,6:00 PM,6.57,Polaris Fashion Place ,293.CMH0319
3178850,"Columbus, OH",3/24/19,11:31 AM,6:11 PM,6.67,Polaris Fashion Place ,293.CMH0319
3193181,"Columbus, OH",3/24/19,11:40 AM,6:20 PM,6.67,Polaris Fashion Place ,293.CMH0319
3066342,"Columbus, OH",3/28/19,9:27 AM,3:02 PM,5.59,Polaris Fashion Place ,293.CMH0319
